klient_id,miesiace_umowy,liczba_reklamacji,srednie_logowania_tyg,plan,umowa,rabat,odejdzie
114,23,1,1.9,basic,roczna,tak,nie
115,29,1,4.2,standard,miesieczna,nie,tak
116,16,1,12.0,standard,roczna,nie,nie
117,36,0,,standard,miesieczna,nie,nie
118,23,0,2.0,pro,miesieczna,nie,nie
119,28,0,8.0,basic,roczna,nie,nie
120,32,0,0.5,standard,roczna,nie,nie
121,22,1,,standard,roczna,nie,nie
122,25,0,2.6,standard,roczna,tak,nie
123,29,0,1.7,pro,roczna,nie,nie
124,33,1,0.4,,miesieczna,tak,tak
125,14,0,6.7,standard,miesieczna,nie,nie
126,31,0,3.4,standard,roczna,nie,nie
